Name,Size,AC,HP,Strength,Dexterity,Constitution,Intelligence,Wisdom,Charisma,Saving Throws,Skills,Damage Vulnerabilities,Damage Resistances,Damage Immunities,Condition Immunities,CR
Bone Whelk,Large,12 (natural armor),1.198224852071006,10,5,11,6,9,3,0,0,0,0,0,0,0.25
Boneclaw,Large,16 (natural armor),6.65680473372781,19,16,15,13,15,9,3,2,0,2,0,5,12
Boneless,Medium,12,1.1538461538461537,16,14,15,1,10,1,0,1,0,2,0,3,1
Booyahg Booyahg Booyahg,Small,12 (15 with mage armor),1.7751479289940828,9,14,11,17,12,11,2,2,0,0,0,0,6
Booyahg Caster,Small,"15 (leather armor, shield)",0.3106508875739645,8,14,10,10,8,8,0,1,0,0,0,0,0.25
Booyahg Slave of the Archfey,Small,11 (14 with mage armor),2.1745562130177514,9,13,11,11,12,18,2,4,0,0,0,1,4
Booyahg Slave of the Fiend,Small,12 (15 with mage armor),3.4615384615384612,10,14,15,12,12,18,2,4,0,1,0,0,7
Booyahg Slave of the Great Old One,Small,12 (15 with mage armor),4.038461538461538,9,14,15,12,12,18,2,2,0,1,0,0,6
Booyahg Whip,Small,"15 (leather armor, shield)",0.3106508875739645,8,14,10,10,8,8,0,1,0,0,0,0,0.25
Booyahg Wielder,Small,"15 (leather armor, shield)",0.3106508875739645,8,14,10,10,8,8,0,1,0,0,0,0,0.25
Borborygmos,Huge,14 (natural armor),11.982248520710058,24,11,24,8,17,16,3,3,0,2,0,2,18
Bore Worm,Gargantuan,18 (natural armor),10.961538461538462,28,7,22,1,8,4,2,0,0,0,5,9,16
Bozak Draconian,Medium,15 (natural armor),1.7751479289940828,14,10,11,11,10,14,3,0,0,0,0,0,2
Brackish Trudge,Large,12 (natural armor),3.0177514792899407,20,10,17,4,14,4,0,1,0,1,0,0,3
Brain in a Jar,Small,11 (natural armor),2.4408284023668636,1,3,15,19,10,15,2,0,0,0,1,4,3
Brass Dragon Wyrmling,Medium,16 (natural armor),0.7100591715976331,15,10,13,10,11,13,4,2,0,0,1,0,1
Brass Greatwyrm,Gargantuan,22 (natural armor),25.07396449704142,30,16,29,21,22,30,5,3,0,0,1,3,28
Braxat,Huge,"18 (natural armor, intellect fortress)",7.189349112426035,26,8,22,14,13,7,0,0,0,0,2,2,9
Bridesmaid of Zuggtmoy,Medium,13 (natural armor),0.9763313609467456,14,11,11,14,8,18,0,0,0,0,0,0,0.125
Brigganock,Tiny,12,0.3994082840236686,4,15,14,10,11,13,2,0,0,0,0,1,0.125
Bristled Moorbounder,Large,15 (natural armor),2.3076923076923075,18,14,14,2,13,5,0,0,0,0,0,0,3
Broken King Antigonos,Large,14 (natural armor),1.6863905325443787,18,11,16,6,16,9,0,1,0,0,0,0,3
Brontosaurus,Gargantuan,15 (natural armor),5.3698224852071,21,9,17,2,10,7,1,0,0,0,0,0,5
Bronze Dragon Wyrmling,Medium,17 (natural armor),1.4201183431952662,17,10,15,12,11,15,4,2,0,0,1,0,2
Bronze Greatwyrm,Gargantuan,22 (natural armor),25.07396449704142,30,16,29,21,22,30,5,3,0,0,1,3,28
Bronze Sable,Medium,15 (natural armor),1.4201183431952662,13,16,15,3,14,1,0,1,0,0,2,5,1
Broom of Animated Attack,Small,15 (natural armor),0.7544378698224852,10,17,10,1,5,1,0,0,0,0,2,9,0.25
Brown Bear,Large,11 (natural armor),1.5088757396449703,19,10,16,2,13,7,0,1,0,0,0,0,1
Brown Scavver,Large,13 (natural armor),2.2633136094674553,18,15,17,1,10,1,0,0,0,0,0,0,4
Bugbear,Medium,"16 (hide armor, shield)",1.198224852071006,15,14,13,8,11,9,0,2,0,0,0,0,1
Bugbear Chief,Medium,"17 (chain shirt, shield)",2.8846153846153846,17,14,14,11,12,11,0,3,0,0,0,0,3
Bugbear Gardener,Medium,"16 (hide armor, shield)",1.198224852071006,15,14,13,8,11,9,0,2,0,0,0,0,1
Bugbear Lieutenant,Medium,"16 (hide armor, shield)",1.198224852071006,15,14,13,8,11,9,0,2,0,0,0,0,1
Bulette,Large,17 (natural armor),4.171597633136095,19,11,21,2,10,5,0,1,0,0,0,0,5
Bulezau,Medium,14 (natural armor),2.3076923076923075,15,14,17,8,9,6,0,0,0,3,1,3,3
Bullywug,Medium,"15 (hide armor, shield)",0.4881656804733728,12,12,13,7,10,7,0,1,0,0,0,0,0.25
Bullywug Croaker,Medium,"15 (hide armor, shield)",1.4644970414201182,14,12,12,7,15,10,1,2,0,0,0,0,2
Bullywug Knight,Medium,18 (plate),2.9289940828402363,16,12,13,9,11,14,2,0,0,0,0,0,3
Bullywug Royal,Medium,"15 (hide armor, shield)",2.3076923076923075,16,12,14,10,11,14,2,3,0,0,0,0,3
Burnished Hart,Medium,14 (natural armor),1.997041420118343,17,14,16,3,15,1,0,0,0,0,2,5,2
Burrowshark,Medium,18 (plate armor),3.6390532544378695,18,12,16,10,11,13,0,4,0,0,0,0,4
Cackler,Small,15 (natural armor),0.4437869822485207,9,16,11,11,7,12,0,3,0,5,1,1,0.5
Cadaver Collector,Large,17 (natural armor),8.38757396449704,21,14,20,5,11,8,0,0,0,0,5,6,14
Cambion,Medium,19 (scale mail),3.6390532544378695,18,18,16,14,12,16,4,4,0,6,0,0,5
Camel,Large,9,0.665680473372781,16,8,14,2,8,5,0,0,0,0,0,0,0.125
Campestri,Tiny,12 (natural armor),0.08875739644970414,1,7,10,4,10,8,0,1,0,0,0,0,0
Canoloth,Medium,16 (natural armor),5.325443786982248,18,10,17,5,17,12,0,2,0,5,2,1,8
Canopic Golem,Large,17 (natural armor),11.18343195266272,20,10,20,7,11,1,3,0,0,0,1,8,13
Carnivorous Flower,Large,14 (natural armor),5.059171597633136,16,11,19,6,13,6,1,0,0,0,0,0,5
Carrion Crawler,Large,13 (natural armor),2.2633136094674553,14,13,16,1,12,5,0,1,0,0,0,0,2
Carrion Ogre,Large,11 (hide armor),2.618343195266272,19,8,16,1,7,7,0,0,0,0,0,0,2
Carrion Stalker,Tiny,14 (natural armor),1.5532544378698223,6,16,12,2,13,6,0,1,0,0,0,1,3
Carrionette,Small,15 (natural armor),1.198224852071006,10,15,12,8,14,14,0,0,0,2,0,3,1
Cat,Tiny,12,0.08875739644970414,3,15,10,3,12,7,0,2,0,0,0,0,0
Category 1 Krasis,Medium,15 (natural armor),0.8431952662721893,16,15,14,2,13,8,0,0,0,0,0,0,1
Category 2 Krasis,Large,15 (natural armor),6.035502958579881,18,14,16,2,13,8,0,0,0,0,0,0,6
Category 3 Krasis,Huge,16 (natural armor),12.736686390532544,23,12,21,2,13,8,0,0,0,0,0,0,16
Catoblepas,Large,14 (natural armor),3.727810650887574,19,12,21,3,14,8,0,1,0,0,0,0,5
Cave Badger,Medium,12 (natural armor),0.5769230769230769,13,10,15,2,12,5,0,0,0,0,0,0,0.25
Cave Bear,Large,12 (natural armor),1.863905325443787,20,10,16,2,13,7,0,1,0,0,0,0,2
Cave Fisher,Medium,16 (natural armor),2.57396449704142,16,13,14,3,10,3,0,2,0,0,0,0,3
Celestial Spirit,Large,11 + the level of the spell (natural armor) + 2 (Defender only),1.7751479289940828,16,14,16,10,14,16,0,0,0,1,0,2,0
Centaur,Large,12,1.997041420118343,18,14,14,9,13,11,0,3,0,0,0,0,2
Centaur Mummy,Large,13 (natural armor),3.7721893491124256,20,12,16,5,14,12,1,0,1,3,2,5,6
Chain Devil,Medium,16 (natural armor),3.7721893491124256,18,15,18,11,12,14,3,0,0,3,2,1,8
Chamberlain of Zuggtmoy,Large,13 (natural armor),1.997041420118343,17,7,14,11,8,12,0,0,0,2,0,0,2
Champion,Medium,18 (plate),6.346153846153846,20,15,14,10,14,12,2,3,0,0,0,0,9
Changeling,Medium,13 (leather armor),0.9763313609467456,8,15,12,14,10,16,0,5,0,0,0,0,0.5
Chaos Quadrapod,Large,14 (natural armor),2.3076923076923075,18,13,15,6,10,4,0,2,0,0,0,0,4
Chardalyn Berserker,Medium,13 (hide armor),3.994082840236686,16,12,17,9,11,9,0,1,0,0,0,0,4
Chardalyn Dragon,Huge,17 (natural armor),6.523668639053254,24,11,19,10,10,3,2,0,0,3,2,6,11
Chasme,Large,15 (natural armor),3.727810650887574,15,15,12,11,14,10,2,1,0,3,1,1,6
Chimera,Large,14 (natural armor),5.059171597633136,19,11,19,3,14,10,0,1,0,0,0,0,6
Chimeric Baboon,Small,12,0.1331360946745562,8,14,11,4,12,6,0,0,0,0,0,0,0
Chimeric Cat,Tiny,12,0.08875739644970414,3,15,10,3,12,7,0,2,0,0,0,0,0
Chimeric Fox,Tiny,13,0.08875739644970414,2,16,11,3,12,6,0,2,0,0,0,0,0
Chimeric Hare,Tiny,13,0.04437869822485207,1,17,9,2,11,4,0,2,0,0,0,0,0
Chimeric Rat,Tiny,10,0.04437869822485207,2,11,9,2,10,4,0,0,0,0,0,0,0
Chimeric Weasel,Tiny,13,0.04437869822485207,3,16,8,2,12,3,0,2,0,0,0,0,0
Chitine,Small,14 (hide armor),0.7988165680473372,10,14,12,10,10,7,0,2,0,0,0,0,0.5
Choker,Small,16 (natural armor),0.5769230769230769,16,14,13,4,12,7,0,1,0,0,0,0,1
Choldrith,Medium,15 (natural armor),2.9289940828402363,12,16,12,11,14,10,0,3,0,0,0,0,3
Chuul,Large,16 (natural armor),4.127218934911243,19,10,16,5,11,5,0,1,0,0,1,1,4
Chuul Spore Servant,Large,16 (natural armor),4.127218934911243,19,10,16,2,6,1,0,0,0,0,1,5,4
Chwinga,Tiny,15,0.22189349112426035,1,20,10,14,16,16,0,3,0,0,0,0,0
Chwinga,Tiny,15,0.22189349112426035,1,20,10,14,16,16,0,3,0,0,0,0,0
Chwinga,Tiny,15,0.22189349112426035,1,20,10,14,16,16,0,3,0,0,0,0,0
Chwinga Astronaut,Tiny,15,0.3106508875739645,1,20,10,14,16,16,0,3,0,0,0,0,0
Clawfoot,Medium,13,0.8431952662721893,12,16,14,4,12,10,0,2,0,0,0,0,1
Clay Gladiator,Medium,"17 (natural armor, shield)",4.970414201183432,18,15,16,10,12,15,3,2,0,0,1,3,5
Clay Golem,Large,14 (natural armor),5.902366863905325,20,9,18,3,8,1,0,0,0,0,5,6,9
Cloaker,Large,14 (natural armor),3.4615384615384612,17,15,12,13,12,14,0,1,0,0,0,0,8
Clockwork Behir,Huge,17 (natural armor),7.455621301775148,23,16,18,7,14,12,0,2,0,0,2,6,11
Clockwork Bronze Scout,Medium,13,1.5976331360946745,10,16,11,3,14,1,0,2,0,0,1,6,1
Clockwork Defender,Medium,17 (natural armor),1.863905325443787,16,15,18,3,14,1,0,2,0,0,1,6,1
Clockwork Dragon,Medium,16 (natural armor),0.9763313609467456,14,10,12,10,11,13,0,2,0,0,2,8,1
Clockwork Iron Cobra,Medium,13,4.038461538461538,12,16,14,3,10,1,0,1,0,0,1,6,4
Clockwork Mule,Medium,10,0.4881656804733728,14,10,13,2,10,5,0,0,0,0,2,6,0.125
Clockwork Oaken Bolter,Medium,16 (natural armor),5.192307692307692,12,18,15,3,10,1,0,0,0,0,1,6,5
Clockwork Observer,Tiny,14 (natural armor),0.3106508875739645,1,16,13,3,15,1,0,1,0,0,1,6,0
Clockwork Stone Defender,Medium,16 (natural armor),4.659763313609467,19,10,17,3,10,1,0,0,0,0,1,6,4
Cloud Giant,Huge,14 (natural armor),8.875739644970414,27,10,22,12,16,16,3,2,0,0,0,0,9
Cloud Giant Ghost,Huge,15 (natural armor),4.615384615384615,27,11,10,12,16,17,2,1,0,1,2,9,9
Cloud Giant Noble,Huge,16 (chain mail),8.875739644970414,27,10,22,12,16,16,3,2,0,0,0,0,9
Cloud Giant Smiling One,Huge,15 (natural armor),11.094674556213016,26,12,22,15,16,17,3,4,0,0,0,0,11
Cockatrice,Small,11,1.198224852071006,6,12,12,2,13,5,0,0,0,0,0,0,0.5
Cogwork Archivist,Large,17 (natural armor),3.994082840236686,18,10,15,17,11,6,0,5,0,0,1,5,4
Coldlight Walker,Medium,13 (natural armor),3.6390532544378695,15,10,17,8,10,8,2,0,0,0,1,6,5
Colossus of Akros,Gargantuan,21 (natural armor),15.532544378698224,28,10,25,3,11,1,2,2,0,0,5,8,23
Commoner,Medium,10,0.17751479289940827,10,10,10,10,10,10,0,0,0,0,0,0,0
Conclave Dryad,Medium,16 (natural armor),6.346153846153846,12,19,14,19,20,21,3,3,0,0,0,0,9
Conjurer Wizard,Medium,12 (15 with mage armor),2.57396449704142,9,14,11,17,12,11,2,2,0,0,0,0,6
Conservatory Student,Medium,15 (breastplate),0.3994082840236686,11,12,11,12,14,16,0,1,0,0,0,0,0.125
Constrictor Snake,Large,12,0.5769230769230769,15,14,12,1,10,3,0,0,0,0,0,0,0.25
Construct Spirit,Medium,13 + the level of the spell (natural armor),1.7751479289940828,18,10,18,14,11,5,0,0,0,1,0,7,0
Constructed Commoner,Medium,15 (natural armor),0.2662721893491124,10,10,15,10,10,10,0,0,0,0,1,2,0
Copper Dragon Wyrmling,Medium,16 (natural armor),0.9763313609467456,15,12,13,14,11,13,4,2,0,0,1,0,1
Copper Greatwyrm,Gargantuan,22 (natural armor),25.07396449704142,30,16,29,21,22,30,5,3,0,0,1,3,28
Core Spawn Crawler,Small,12,0.9319526627218935,7,14,10,9,12,6,0,1,0,0,1,1,1
Core Spawn Emissary,Medium,15 (natural armor),4.526627218934911,17,15,18,8,13,8,3,1,0,0,1,1,6
Core Spawn Seer,Medium,17 (natural armor),6.789940828402367,14,12,18,22,19,16,4,1,0,0,1,2,13
Core Spawn Worm,Gargantuan,18 (natural armor),12.381656804733726,26,5,20,6,8,4,2,1,1,0,2,2,15
Corpse Flower,Large,12,5.636094674556213,14,14,16,7,15,3,0,0,0,0,0,3,8
Corrupted Avatar of Lurue,Large,14 (natural armor),3.994082840236686,18,14,15,11,17,16,3,0,0,0,1,3,8
Corrupted Giant Shark,Huge,13 (natural armor),5.59171597633136,23,11,21,1,10,5,0,1,0,0,0,0,9
Cosmic Horror,Gargantuan,15 (natural armor),12.426035502958579,27,10,25,24,15,24,3,0,0,0,2,3,18
Cosmotronic Blastseeker,Medium,15 (chain shirt),1.6420118343195265,14,15,16,18,9,12,2,3,0,0,0,0,4
Couatl,Medium,19 (natural armor),4.304733727810651,16,20,17,18,20,18,3,0,0,1,3,0,4
Counterflux Blastseeker,Medium,13 (16 with mage armor),1.7307692307692306,13,16,15,18,11,14,2,2,0,0,0,0,2
Cow,Large,10,0.665680473372781,18,10,14,2,10,4,0,0,0,0,0,0,0.25
Crab,Tiny,11 (natural armor),0.08875739644970414,2,11,10,1,8,2,0,1,0,0,0,0,0
Crag Cat,Large,13,1.5088757396449703,16,17,16,4,14,8,0,2,0,0,0,0,1
Cranium Rat,Tiny,12,0.08875739644970414,2,14,10,4,11,8,0,0,0,0,0,0,0
Crawling Claw,Tiny,12,0.08875739644970414,13,14,11,5,10,4,0,0,0,0,1,3,0
Crocodile,Large,12 (natural armor),0.8431952662721893,15,10,13,2,10,5,0,1,0,0,0,0,0.5
Crow,Tiny,12,0.04437869822485207,2,14,8,2,12,6,0,1,0,0,0,0,0
Crushing Wave Priest,Medium,13 (chain shirt),2.3076923076923075,15,11,14,10,11,16,0,3,0,0,0,0,2
Crushing Wave Reaver,Medium,14 (shield),0.9763313609467456,15,14,13,10,11,8,0,2,0,0,0,0,0.5
Crystal Battleaxe,Small,17 (natural armor),0.7544378698224852,12,15,11,1,5,1,1,0,0,0,2,7,0.25
Crystal Dragon Wyrmling,Medium,14 (natural armor),1.4201183431952662,14,12,14,14,13,15,4,3,0,2,0,0,2
Crystal Golem,Large,17 (natural armor),7.899408284023668,22,9,20,3,11,1,0,0,0,0,4,6,10
Crystal Greatwyrm,Gargantuan,21 (natural armor),22.5,28,14,29,30,24,25,4,3,0,0,1,4,26
Cult Fanatic,Medium,13 (leather armor),1.4644970414201182,11,14,12,10,13,14,0,3,0,0,0,0,2
Cultist,Medium,12 (leather armor),0.3994082840236686,11,12,10,10,11,10,0,2,0,0,0,0,0.125
Cyclops,Huge,14 (natural armor),6.124260355029586,22,11,20,8,6,10,0,0,0,0,0,0,6
Daemogoth,Huge,16 (natural armor),6.967455621301775,19,15,19,21,14,18,3,4,0,0,1,1,10
Daemogoth Titan,Gargantuan,17 (natural armor),9.00887573964497,26,10,26,24,18,20,3,4,0,0,1,2,16
Damaged Flesh Golem,Medium,9,0.22189349112426035,19,9,18,6,10,5,0,0,0,0,4,6,1
Dancing Flame,Medium,15 (natural armor),2.9289940828402363,8,17,13,15,12,20,0,5,0,6,0,0,4
Dancing Item,Large,16 (natural armor),0.4437869822485207,18,14,16,4,10,6,0,0,0,0,2,4,0
Dao,Large,18 (natural armor),8.298816568047338,23,12,24,12,13,14,3,0,0,0,0,1,11
Dark Tide Knight,Medium,13,2.57396449704142,17,16,14,10,11,11,0,2,0,0,0,0,3
Darkling,Small,14 (leather armor),0.5769230769230769,9,16,12,10,12,10,0,4,0,0,0,0,0.5
Darkling Elder,Medium,15 (studded leather armor),1.198224852071006,13,17,12,10,14,13,0,4,0,0,0,0,2
Darkmantle,Small,11,0.9763313609467456,16,12,13,2,10,5,0,1,0,0,0,0,0.5
Deadstone Cleft Stone Giant,Huge,17 (natural armor),5.59171597633136,23,15,20,10,12,9,3,2,0,0,0,0,7
Death Dog,Medium,12,1.7307692307692306,15,14,14,3,13,6,0,2,0,0,0,0,1
Death Embrace,Huge,13 (natural armor),6.523668639053254,23,15,19,6,9,4,2,0,0,0,0,4,11
Death Kiss,Large,15 (natural armor),6.301775147928994,18,14,18,10,12,10,2,1,0,0,1,1,10
Death Knight,Medium,"20 (plate armor, shield)",7.988165680473372,20,11,20,12,16,18,3,0,0,0,2,3,17
Death Slaad,Medium,18 (natural armor),7.544378698224851,20,15,19,15,10,16,0,2,0,5,0,0,10
Death Tyrant,Large,19 (natural armor),8.298816568047338,10,14,14,19,15,19,5,1,0,0,1,6,14
Death's Head,Tiny,16 (natural armor),0.7544378698224852,8,13,12,5,14,3,0,0,0,1,0,0,0.5
Death's Head of Bhaal,Medium,15,3.3727810650887573,20,20,20,14,13,16,0,4,0,0,0,0,5
Deathlock,Medium,12,1.5976331360946745,11,15,10,14,12,16,2,2,0,3,1,2,4
Deathlock Mastermind,Medium,13,4.881656804733727,11,16,12,15,12,17,2,3,0,3,1,2,8
Deathlock Wight,Medium,12,1.6420118343195265,11,14,16,12,14,16,1,2,0,3,1,2,3
Deathpact Angel,Medium,18 (natural armor),7.766272189349112,16,18,14,19,20,23,3,4,0,4,0,3,14
Deep Crow,Large,17 (natural armor),5.902366863905325,20,16,18,8,15,14,2,2,0,0,0,0,9
Deep Dragon Wyrmling,Medium,15 (natural armor),1.198224852071006,14,11,12,11,12,13,4,3,0,2,0,3,1
Deep Gnome (Svirfneblin),Small,15 (chain shirt),0.7100591715976331,15,14,14,12,10,9,0,3,0,0,0,0,0.5
Deep Rothé,Medium,10,0.5769230769230769,18,10,14,2,10,4,0,0,0,0,0,0,0.25
Deep Scion,Medium,11,2.9733727810650885,18,13,16,10,12,14,2,4,0,0,0,0,3
Deer,Medium,13,0.17751479289940827,11,16,11,2,14,5,0,0,0,0,0,0,0
Deinonychus,Medium,13 (natural armor),1.1538461538461537,15,15,14,4,12,6,0,1,0,0,0,0,1
Demilich,Tiny,20 (natural armor),3.5502958579881656,1,20,10,20,17,20,4,0,0,3,5,9,18
Demogorgon,Medium,15 (natural armor),2.662721893491124,16,12,16,3,12,5,0,2,0,0,0,0,4
Demogorgon,Huge,22 (natural armor),20.59171597633136,29,14,26,20,17,25,4,2,0,3,3,4,26
Demos Magen,Medium,16 (chain mail),2.2633136094674553,14,14,18,10,10,7,0,0,0,0,1,5,2
Derro,Small,13 (leather armor),0.5769230769230769,10,14,12,11,5,9,0,1,0,0,0,0,0.25
Derro Savant,Small,13 (leather armor),1.5976331360946745,9,14,12,11,5,14,0,1,0,0,0,0,3
Detached Shadow,Medium,12,0.7100591715976331,6,14,13,6,10,8,0,1,1,7,2,8,0.5
Deva,Medium,17 (natural armor),6.035502958579881,18,18,18,17,20,20,2,2,0,3,0,3,10
Devkarin Lich,Medium,14 (natural armor),4.304733727810651,11,16,14,19,16,15,3,3,0,3,1,5,14
Devourer,Large,16 (natural armor),8.38757396449704,20,12,20,13,10,16,0,0,0,3,1,1,13
Dhergoloth,Medium,15 (natural armor),5.281065088757396,17,10,19,7,10,9,1,0,0,5,2,1,7
Diatryma,Large,11,0.8431952662721893,14,12,12,2,10,5,0,0,0,0,0,0,0.25
Dimetrodon,Medium,12 (natural armor),0.8431952662721893,14,10,15,2,10,5,0,1,0,0,0,0,0.25
Dining Table Mimic,Large,12 (natural armor),3.328402366863905,17,12,15,5,13,8,0,1,0,0,1,1,3
Dinosaur Skeleton,Large,13 (natural armor),2.2633136094674553,19,13,17,2,12,5,0,1,1,0,1,2,2
Dire Troll,Huge,15 (natural armor),7.633136094674556,22,15,21,9,11,5,2,1,0,3,0,2,13
Dire Wolf,Large,14 (natural armor),1.6420118343195265,17,15,15,3,12,7,0,2,0,0,0,0,1
Disciple,Medium,11 (shield),0.3994082840236686,12,9,10,11,13,9,1,2,0,0,0,0,0
Displacer Beast,Large,13 (natural armor),3.7721893491124256,18,15,16,6,12,8,0,0,0,0,0,0,3
Displacer Beast Kitten,Small,12 (natural armor),0.3994082840236686,12,13,12,4,10,6,0,0,0,0,0,0,0.125
Distended Corpse,Medium,10,0.17751479289940827,10,10,10,10,10,10,0,0,0,0,0,2,0
Diva,Medium,13 (leather armor),0.7100591715976331,11,14,12,11,13,11,0,4,0,0,0,0,0.5
Diviner Wizard,Medium,12 (15 with mage armor),3.994082840236686,9,14,11,18,12,11,2,2,0,0,0,0,8
Djinni,Large,17 (natural armor),7.144970414201183,21,15,22,15,16,20,3,0,0,0,2,0,11
Dohwar,Small,11,0.4437869822485207,5,12,11,11,14,13,2,3,0,0,0,0,0
Dolgaunt,Medium,16 (Unarmored Defense),1.4644970414201182,14,18,12,13,14,11,0,3,0,0,0,1,3
Dolgrim,Small,"15 (natural armor, shield)",0.5769230769230769,15,14,12,8,10,8,0,0,0,0,0,0,0.5
Dolphin,Medium,12 (natural armor),0.4881656804733728,14,13,13,6,12,7,0,1,0,0,0,0,0.125
Dolphin Delighter,Medium,14 (natural armor),1.198224852071006,14,13,13,11,12,16,2,2,0,0,0,0,3
Doomwake Giant,Huge,15 (natural armor),7.189349112426035,24,12,22,12,14,16,2,2,0,0,2,2,11
Doppelganger,Medium,14,2.3076923076923075,11,18,14,11,12,14,0,2,0,0,0,1,3
Dracohydra,Huge,17 (natural armor),9.674556213017752,20,12,20,6,12,12,0,1,0,0,0,0,11
Draconian Dreadnought,Large,16 (natural armor),2.529585798816568,18,10,18,10,10,10,2,0,0,0,0,0,4
Draconian Foot Soldier,Medium,14 (natural armor),0.9763313609467456,13,11,13,8,8,10,0,0,0,0,0,0,0.5
Draconian Infiltrator,Medium,15 (natural armor),1.7307692307692306,11,17,14,9,13,11,1,2,0,0,1,1,3
Draconian Mage,Medium,15 (natural armor),1.7751479289940828,14,10,11,11,10,14,3,0,0,0,0,0,2
Draconian Mastermind,Medium,17 (natural armor),2.9733727810650885,13,14,16,15,11,17,3,1,0,0,0,1,6
Draconic Shard,Huge,17 (deflection),7.455621301775148,1,12,18,22,18,22,4,4,0,4,4,8,17
Draconic Spirit,Large,14 + the level of the spell (natural armor),2.2189349112426036,19,14,17,10,14,14,0,0,0,9,0,3,0
Dracophage Subject,Medium,15 (natural armor),1.7307692307692306,11,17,14,12,13,11,1,3,0,0,1,1,3
Draegloth,Large,15 (natural armor),5.458579881656805,20,15,18,13,11,11,0,2,0,3,1,1,7
Draft Horse,Large,10,0.8431952662721893,18,10,12,2,11,7,0,0,0,0,0,0,0.25
Dragon Army Dragonnel,Large,16 (breastplate barding),2.57396449704142,16,15,12,8,13,10,0,1,0,1,0,0,3
Dragon Army Officer,Medium,"19 (splint, shield)",2.8846153846153846,16,14,15,12,14,12,2,2,0,0,0,0,3
Dragon Army Soldier,Medium,"17 (scale mail, shield)",0.9763313609467456,15,12,12,10,10,10,0,2,0,0,0,0,1
Dragon Blessed,Medium,14 (scale mail),3.328402366863905,12,10,16,14,17,10,2,2,0,0,0,1,5
Dragon Chosen,Medium,17 (natural armor),1.997041420118343,18,18,14,10,13,14,3,2,0,0,0,1,3
Dragon Hunter,Medium,13 (studded leather),2.57396449704142,16,13,14,10,11,10,0,2,0,0,0,0,3
Dragon Speaker,Small,13 (leather armor),1.5976331360946745,10,14,12,13,11,17,2,2,0,0,0,2,2
Dragon Tortoise,Gargantuan,20 (natural armor),15.133136094674555,25,10,20,10,12,12,3,0,0,1,0,0,17
Dragon Turtle,Gargantuan,20 (natural armor),15.133136094674555,25,10,20,10,12,12,3,0,0,1,0,0,17
Dragon Turtle Wyrmling,Large,18 (natural armor),3.994082840236686,17,10,15,8,10,10,3,0,0,1,0,0,4
Dragonblood Ooze,Large,14 (natural armor),3.0177514792899407,18,6,17,2,12,10,0,2,0,5,0,8,5
Dragonbone Golem,Large,17 (natural armor),7.144970414201183,20,10,17,3,11,10,0,0,0,0,1,6,11
Dragonborn of Bahamut,Medium,"18 (half plate, shield)",4.127218934911243,19,13,18,12,14,17,4,3,0,0,0,1,8
Dragonborn of Sardior,Medium,17 (mental defense),3.328402366863905,14,16,17,18,14,12,4,3,0,1,0,1,6
Dragonborn of Tiamat,Medium,18 (plate),3.7721893491124256,20,11,18,10,12,16,4,3,0,0,0,1,7
Dragonclaw,Medium,14 (leather armor),0.7100591715976331,9,16,13,11,10,12,1,2,0,0,0,0,1
Dragonfang,Medium,15 (studded leather),3.4615384615384612,11,16,14,12,12,14,1,2,0,5,0,0,5
Dragonflesh Abomination,Huge,15 (natural armor),2.9289940828402363,18,14,17,5,12,6,2,0,0,0,0,3,6
Dragonflesh Grafter,Large,14 (natural armor),2.3076923076923075,16,11,14,10,10,6,2,0,0,0,0,0,3
Dragonnel,Large,13 (natural armor),2.57396449704142,16,15,12,8,13,10,0,1,0,0,0,0,2
Dragonsoul,Medium,16 (studded leather),4.881656804733727,11,18,14,13,12,16,1,2,0,5,0,0,7
Dragonwing,Medium,14 (leather armor),1.4644970414201182,11,16,13,11,11,13,1,2,0,5,0,0,2
Drake Companion,Small,14 + PB (natural armor),0.22189349112426035,16,12,15,8,14,8,2,0,0,0,1,0,0
Dread Warrior,Medium,"18 (chain mail, shield)",1.6420118343195265,15,11,16,10,12,10,1,2,0,0,1,2,1
Dretch,Small,11 (natural armor),0.7988165680473372,11,11,12,5,8,3,0,0,0,3,1,1,0.25
Drider,Large,19 (natural armor),5.458579881656805,16,16,18,13,14,12,0,2,0,0,0,0,6
Drow,Medium,15 (chain shirt),0.5769230769230769,10,14,10,11,11,12,0,2,0,0,0,0,0.25
Drow Acolyte,Medium,10,0.3994082840236686,10,10,10,10,14,11,0,3,0,0,0,0,0.25
Drow Arachnomancer,Medium,15 (studded leather),7.189349112426035,11,17,14,19,14,16,3,4,0,1,0,0,13
Drow Bandit,Medium,12 (leather armor),0.4881656804733728,11,12,12,10,10,10,0,1,0,0,0,0,0.125
Drow Commander,Medium,"18 (studded leather, shield)",4.881656804733727,13,18,14,11,13,12,3,2,0,0,0,0,5
Drow Commoner,Medium,10,0.17751479289940827,10,10,10,10,10,10,0,1,0,0,0,0,0
Drow Cultist,Medium,12 (leather armor),0.3994082840236686,11,12,10,10,11,10,0,3,0,0,0,0,0.125
Drow Elite Warrior,Medium,"18 (studded leather, shield)",3.150887573964497,13,18,14,11,13,12,3,2,0,0,0,0,5
Drow Favored Consort,Medium,15,10.650887573964496,15,20,16,18,15,18,3,4,0,0,0,0,18
Drow Guard,Medium,"16 (chain shirt, shield)",0.4881656804733728,13,12,12,10,11,10,0,1,0,0,0,0,0.125
